record_id,pitching_role,pitch_result,innings_pitched,pitches,batters_faced,strikeouts,walks,hit_batters,hits_allowed,singles,doubles,triples,home_runs,runs_allowed,earned_runs,fly_outs,ground_outs,line_outs,stolen_bases_allowed,wild_pitches,balks,remarks
135282,RP,"",1.1,10,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,""
135248,RP,H,1.0,11,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"(H, 17)"
135250,SP,W,5.2,95,25,6,1,1,6,6,0,0,0,2,2,3,5,2,1,0,0,"(W, 12-7)"
135253,CL,S,1.0,19,5,0,0,0,2,0,2,0,0,1,1,0,2,1,1,0,0,"(S, 31)"
135257,RP,H,0.1,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"(H, 19)"
135260,RP,H,1.0,13,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(H, 7)"
135323,RP,W,1.0,8,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"(W, 6-4)"
135327,SP,"",6.2,94,27,6,1,0,5,2,3,0,0,2,1,5,9,1,1,0,0,""
135332,RP,"",0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
135344,CL,S,1.0,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(S, 26)"
135294,CL,L,2.0,26,8,2,0,0,2,1,0,0,1,2,2,1,2,1,0,0,0,"(L, 4-4)(BS, 6)"
135306,RP,"",4.1,71,17,2,1,1,3,2,1,0,0,0,0,4,4,0,0,0,0,""
135313,SP,"",2.2,34,10,3,0,0,2,1,0,0,1,1,1,1,2,0,1,0,0,""
135371,CL,L,0.2,15,4,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,"(L, 2-1)(BS, 1)"
135378,SP,"",3.2,69,18,2,2,0,5,2,0,0,3,5,5,2,3,1,0,0,0,""
135384,RP,H,1.0,17,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"(H, 10)"
