record_id,at_bats,plate_appearance,hits,doubles,triples,home_runs,strikeouts,walks,hit_by_pitch,sacrifice_flies,double_play,triple_play,rbis,runs,stolen_bases,caught_stealing,remarks
23546,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-2 | 2 K
23560,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,"1-3 | K, RBI"
23562,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
23575,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-1 | BB, K"
23580,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-3 | BB
23582,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2-3 | R
23587,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2-3 | K
23593,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,"1-1 | 2B, BB, 2 SB"
23600,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-3
23605,4,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0-4 | 2 K
23607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23634,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0-2 | RBI
23635,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"1-2 | BB, K"
23643,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23418,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23423,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23446,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1-2 | 2B
23448,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
23449,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2-2
23459,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
23465,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23466,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-1
23477,2,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,"0-2 | BB, K, R"
23478,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
23482,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1-1 | BB
23490,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
23501,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23503,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-2 | BB
23515,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
23524,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23527,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1-2 | RBI
23529,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0-2
23764,3,3,2,1,0,0,1,0,0,0,0,0,0,2,0,0,"2-3 | 2B, K, 2 R"
23767,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23768,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-4 | 2 K
23779,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23791,4,4,2,0,0,0,1,0,0,0,1,0,1,1,0,0,"2-4 | K, RBI, R"
23794,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,"2-2 | 2 2B, R"
23802,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,"1-1 | HR, RBI, R"
23805,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,"2-2 | 2 RBI, 2 R"
23814,4,4,2,1,0,0,0,0,0,0,0,0,2,1,0,0,"2-4 | 2B, 2 RBI, R"
23818,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-1 | R
23821,3,3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,"1-3 | 2B, K, RBI"
23823,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"1-2 | 2B, RBI"
23825,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-3
23826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
